timestamp,event_id,trigger,force_sensor_raw,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6
1773348484.346056,1,effort,4095,-0.382347,0.807064,1.571086,-0.412449,0.856233,0.000383,-0.048838,-14.636277,4.646827,0.177160,0.135229,-0.045293,-0.051923,-6.906652,-0.275428,-0.095308,0.128070,-0.022612,-0.382872,0.809119,1.571811,-0.424529,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018173,2.417328,0.096400,0.033358,-0.044824,0.007914
1773348484.362818,1,effort,4095,-0.382329,0.806559,1.571003,-0.412066,0.848563,0.000192,0.029491,-10.995067,4.731154,0.210660,-0.334190,-0.043618,0.026406,-3.265442,-0.191100,-0.061808,-0.341349,-0.020937,-0.382872,0.809119,1.571811,-0.423762,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009242,1.142905,0.066885,0.021633,0.119472,0.007328
1773348484.401693,1,effort,4095,-0.382329,0.806559,1.571003,-0.412066,0.848563,0.000192,0.029491,-10.995067,4.731154,0.210660,-0.334190,-0.043618,0.026406,-3.265442,-0.191100,-0.061808,-0.341349,-0.020937,-0.382872,0.809119,1.571811,-0.423187,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009242,1.142905,0.066885,0.021633,0.119472,0.007328
1773348484.405513,1,effort,4095,-0.382329,0.806559,1.571003,-0.412066,0.848563,0.000192,0.029491,-10.995067,4.731154,0.210660,-0.334190,-0.043618,0.026406,-3.265442,-0.191100,-0.061808,-0.341349,-0.020937,-0.382872,0.809119,1.571811,-0.423187,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009242,1.142905,0.066885,0.021633,0.119472,0.007328
1773348484.423735,1,effort,4095,-0.382329,0.806559,1.571003,-0.412066,0.848563,0.000192,0.029491,-10.995067,4.731154,0.210660,-0.334190,-0.043618,0.026406,-3.265442,-0.191100,-0.061808,-0.341349,-0.020937,-0.382872,0.809119,1.571811,-0.422995,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009242,1.142905,0.066885,0.021633,0.119472,0.007328
1773348484.448543,1,effort,4095,-0.382329,0.806559,1.571003,-0.412066,0.848563,0.000192,0.029491,-10.995067,4.731154,0.210660,-0.334190,-0.043618,0.026406,-3.265442,-0.191100,-0.061808,-0.341349,-0.020937,-0.382872,0.809119,1.571811,-0.422995,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009242,1.142905,0.066885,0.021633,0.119472,0.007328
1773348484.462994,1,effort,4095,-0.382314,0.806845,1.571094,-0.411490,0.849202,0.000192,-0.015913,-10.760491,4.623011,0.187210,0.348289,-0.041943,-0.018999,-3.030867,-0.299244,-0.085258,0.341130,-0.019263,-0.382872,0.809119,1.571811,-0.422997,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006649,1.060803,0.104735,0.029840,-0.119395,0.006742
1773348484.482630,1,effort,4095,-0.382314,0.806845,1.571094,-0.411490,0.849202,0.000192,-0.015913,-10.760491,4.623011,0.187210,0.348289,-0.041943,-0.018999,-3.030867,-0.299244,-0.085258,0.341130,-0.019263,-0.382872,0.809119,1.571811,-0.423262,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006649,1.060803,0.104735,0.029840,-0.119395,0.006742
1773348484.502787,1,effort,4095,-0.382314,0.806845,1.571094,-0.411490,0.849202,0.000192,-0.015913,-10.760491,4.623011,0.187210,0.348289,-0.041943,-0.018999,-3.030867,-0.299244,-0.085258,0.341130,-0.019263,-0.382872,0.809119,1.571811,-0.423379,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006649,1.060803,0.104735,0.029840,-0.119395,0.006742
1773348484.524271,1,effort,4095,-0.382314,0.806845,1.571094,-0.411490,0.849202,0.000192,-0.015913,-10.760491,4.623011,0.187210,0.348289,-0.041943,-0.018999,-3.030867,-0.299244,-0.085258,0.341130,-0.019263,-0.382872,0.809119,1.571811,-0.423379,0.875248,-0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006649,1.060803,0.104735,0.029840,-0.119395,0.006742
