timestamp,event_id,trigger,force_sensor_raw,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6
1773345692.699360,1,effort,4095,-0.332377,0.344841,1.298852,-0.252148,1.021935,-0.048704,-8.897261,-7.679368,4.685411,0.806960,0.009734,-0.046968,-8.895385,0.035641,-0.236988,0.553064,0.002215,-0.006156,-0.354633,0.365601,1.297909,-0.189638,1.021775,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,-0.012474,0.082946,-0.193572,-0.000775,0.002154
1773345692.718828,1,effort,4095,-0.349602,0.352873,1.298223,-0.221852,1.021935,-0.049471,-6.635780,-7.677833,4.632880,0.763410,0.010685,-0.041943,-6.633904,0.037175,-0.289520,0.509514,0.003167,-0.001131,-0.354633,0.368405,1.297905,-0.189638,1.021695,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.321867,-0.013011,0.101332,-0.178330,-0.001108,0.000396
1773345692.738226,1,effort,4095,-0.349602,0.352873,1.298223,-0.221852,1.021935,-0.049471,-6.635780,-7.677833,4.632880,0.763410,0.010685,-0.041943,-6.633904,0.037175,-0.289520,0.509514,0.003167,-0.001131,-0.354633,0.370757,1.297903,-0.187337,1.021695,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.321867,-0.013011,0.101332,-0.178330,-0.001108,0.000396
1773345692.762970,1,effort,4095,-0.349602,0.352873,1.298223,-0.221852,1.021935,-0.049471,-6.635780,-7.677833,4.632880,0.763410,0.010685,-0.041943,-6.633904,0.037175,-0.289520,0.509514,0.003167,-0.001131,-0.354633,0.371632,1.297899,-0.186187,1.021615,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.321867,-0.013011,0.101332,-0.178330,-0.001108,0.000396
1773345692.778446,1,effort,4095,-0.349602,0.352873,1.298223,-0.221852,1.021935,-0.049471,-6.635780,-7.677833,4.632880,0.763410,0.010685,-0.041943,-6.633904,0.037175,-0.289520,0.509514,0.003167,-0.001131,-0.354633,0.371632,1.297899,-0.186187,1.021615,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.321867,-0.013011,0.101332,-0.178330,-0.001108,0.000396
1773345692.799836,1,effort,4095,-0.349602,0.352873,1.298223,-0.221852,1.021935,-0.049471,-6.635780,-7.677833,4.632880,0.763410,0.010685,-0.041943,-6.633904,0.037175,-0.289520,0.509514,0.003167,-0.001131,-0.354633,0.371632,1.297899,-0.186187,1.021615,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.321867,-0.013011,0.101332,-0.178330,-0.001108,0.000396
1773345692.818300,1,effort,4095,-0.348898,0.355836,1.298133,-0.217825,1.021935,-0.049854,-4.507977,-7.589890,4.795115,0.714835,0.011938,-0.045293,-4.506101,0.125118,-0.127285,0.460939,0.004420,-0.004481,-0.354633,0.371632,1.297899,-0.186187,1.021615,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.577135,-0.043791,0.044550,-0.161329,-0.001547,0.001568
1773345692.838055,1,effort,4095,-0.348898,0.355836,1.298133,-0.217825,1.021935,-0.049854,-4.507977,-7.589890,4.795115,0.714835,0.011938,-0.045293,-4.506101,0.125118,-0.127285,0.460939,0.004420,-0.004481,-0.354633,0.371523,1.297900,-0.186329,1.021625,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.577135,-0.043791,0.044550,-0.161329,-0.001547,0.001568
1773345692.858018,1,effort,4095,-0.348898,0.355836,1.298133,-0.217825,1.021935,-0.049854,-4.507977,-7.589890,4.795115,0.714835,0.011938,-0.045293,-4.506101,0.125118,-0.127285,0.460939,0.004420,-0.004481,-0.354633,0.370865,1.297902,-0.187194,1.021685,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.577135,-0.043791,0.044550,-0.161329,-0.001547,0.001568
1773345692.878178,1,effort,4095,-0.348898,0.355836,1.298133,-0.217825,1.021935,-0.049854,-4.507977,-7.589890,4.795115,0.714835,0.011938,-0.045293,-4.506101,0.125118,-0.127285,0.460939,0.004420,-0.004481,-0.354633,0.370757,1.297903,-0.187337,1.021695,-0.056757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.577135,-0.043791,0.044550,-0.161329,-0.001547,0.001568
