timestamp,state,force_sensor,in_contact,effort_collision,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6,q_err_j1,q_err_j2,q_err_j3,q_err_j4,q_err_j5,q_err_j6
1773348271.209594,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019255,0.331923,1.302823,-0.107379,1.022095,-0.053689,-0.000008,-7.716613,4.922500,0.249185,0.007873,-0.045293,-0.000853,0.010743,-0.007295,-0.001403,0.000864,-0.003057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000019,-0.000001,-0.000002,0.000049,-0.000124,-0.000078,0.002529,0.000102,0.000225
1773348271.243164,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053689,-0.000003,-7.716595,4.922485,0.244160,0.007873,-0.046968,-0.000848,0.010761,-0.007310,-0.006428,0.000865,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000019,-0.000001,-0.000002,0.000051,-0.000124,-0.000078,0.002529,0.000102,0.000225
1773348271.249359,RUNNING,4095,0,0,0.019265,0.331907,1.302816,-0.104886,1.022174,-0.053689,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053689,-0.000003,-7.716595,4.922485,0.244160,0.007873,-0.046968,-0.000848,0.010761,-0.007310,-0.006428,0.000865,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000000,0.000044,-0.000114,-0.000074,0.002337,0.000021,0.000034
1773348271.269875,RUNNING,4095,0,0,0.019265,0.331907,1.302812,-0.104886,1.022174,-0.053498,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053689,-0.000003,-7.716595,4.922485,0.244160,0.007873,-0.046968,-0.000848,0.010761,-0.007310,-0.006428,0.000865,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000002,0.000044,-0.000114,-0.000078,0.002337,0.000021,0.000225
1773348271.293385,RUNNING,4095,0,0,0.019265,0.331907,1.302808,-0.104886,1.022174,-0.052731,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053689,-0.000003,-7.716595,4.922485,0.244160,0.007873,-0.046968,-0.000848,0.010761,-0.007310,-0.006428,0.000865,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000007,0.000044,-0.000114,-0.000082,0.002337,0.000021,0.000992
1773348271.309839,RUNNING,4095,0,0,0.019265,0.331907,1.302795,-0.104886,1.022174,-0.052731,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053689,-0.000003,-7.716595,4.922485,0.244160,0.007873,-0.046968,-0.000848,0.010761,-0.007310,-0.006428,0.000865,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000007,0.000044,-0.000114,-0.000095,0.002337,0.000021,0.000992
1773348271.330063,RUNNING,4095,0,0,0.019265,0.331907,1.302783,-0.104886,1.022174,-0.052731,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053881,-0.001120,-7.714343,4.921745,0.242485,0.007853,-0.046968,-0.001965,0.013013,-0.008050,-0.008103,0.000844,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000009,0.000044,-0.000114,-0.000107,0.002337,0.000021,0.001184
1773348271.349698,RUNNING,4095,0,0,0.019265,0.331907,1.302768,-0.104886,1.022174,-0.052539,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053881,-0.001120,-7.714343,4.921745,0.242485,0.007853,-0.046968,-0.001965,0.013013,-0.008050,-0.008103,0.000844,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000010,0.000044,-0.000114,-0.000122,0.002337,0.000021,0.001376
1773348271.370283,RUNNING,4095,0,0,0.019265,0.331907,1.302752,-0.104886,1.022174,-0.052539,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053881,-0.001120,-7.714343,4.921745,0.242485,0.007853,-0.046968,-0.001965,0.013013,-0.008050,-0.008103,0.000844,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000010,0.000044,-0.000114,-0.000138,0.002337,0.000021,0.001376
1773348271.392013,RUNNING,4095,0,0,0.019265,0.331907,1.302743,-0.104886,1.022174,-0.052539,0.019253,0.331923,1.302823,-0.107379,1.022095,-0.053881,-0.001120,-7.714343,4.921745,0.242485,0.007853,-0.046968,-0.001965,0.013013,-0.008050,-0.008103,0.000844,-0.004732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,-0.000018,-0.000000,-0.000010,0.000044,-0.000114,-0.000147,0.002337,0.000021,0.001376
